item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
385,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,3.0,2.0,2.0,,,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
386,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
391,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,2.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,3.0,2.0,2.0,1.0,,1.0,1.0,2.0,1.0
392,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,2.0,3.0,3.0,2.0,,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,
394,,,,,,,,,,,,1.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,2.0,3.0,2.0,1.0,,,,,,,,1.0,1.0
395,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,2.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,1.0,2.0,2.0,1.0,,1.0,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,3.0,2.0,1.0,,,,
396,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,1.0,1.0,1.0,,2.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,7.0,7.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,1.0,6.0,7.0,8.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,5.0,9.0,10.0,12.0,8.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,7.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,6.0,4.0,3.0,3.0,1.0,1.0,,,1.0,3.0,3.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0
398,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,,
399,,,,,,,,,,1.0,1.0,3.0,3.0,3.0,1.0,,,,,2.0,2.0,2.0,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,3.0,3.0,2.0,,,,,,1.0,1.0,1.0,
401,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,1.0,2.0,2.0,3.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
403,,,,,,,,,1.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,2.0,6.0,5.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,
404,,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0
406,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,2.0,3.0,3.0,1.0,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,2.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0
407,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,3.0,3.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,,
409,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1.0,1.0,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0
411,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,
412,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,4.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,
413,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,2.0,3.0,3.0,1.0,,,,,,,,,2.0,2.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0
414,,,,,,,,,,2.0,2.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,3.0,2.0,2.0,,2.0,2.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0
415,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,
416,,,,,,,,,3.0,4.0,4.0,2.0,3.0,6.0,5.0,3.0,1.0,,,2.0,3.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,7.0,7.0,8.0,5.0,5.0,3.0,2.0,2.0,5.0,4.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,7.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,2.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,7.0,7.0,5.0,1.0,1.0,4.0,7.0,9.0
417,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,
419,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,
420,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
421,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
422,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,2.0,3.0,3.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
423,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
424,,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,,,,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0
425,,,,,,,,,,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0
426,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,2.0,3.0,2.0,1.0,,,
427,,,,,,,,,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,6.0,6.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,,,,,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,
428,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,
429,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,4.0,4.0,3.0,2.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,3.0,3.0
430,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,,,3.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0
431,,,,,,,,,,,,,2.0,2.0,2.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
432,1.0,1.0,,,,,1.0,1.0,3.0,3.0,4.0,4.0,6.0,5.0,3.0,1.0,6.0,9.0,9.0,9.0,11.0,11.0,11.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,4.0,3.0,3.0,4.0,6.0,8.0,11.0,8.0,5.0,,3.0,5.0,5.0,2.0,,1.0,1.0,1.0,,,,,,,,,1.0,8.0,14.0,14.0,11.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,3.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,2.0
433,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0
434,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,2.0,3.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0
435,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
436,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,
439,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,
440,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,
441,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
442,,,,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,4.0,4.0,4.0,1.0,,,1.0,2.0,2.0,2.0,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,2.0,3.0,4.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0
443,,,,,1.0,1.0,1.0,,1.0,2.0,3.0,3.0,3.0,1.0,,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,11.0,11.0,10.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,2.0,1.0,,,,,,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,2.0
444,,,,,,,,,,,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
446,,,,,,,,,,,,,,,2.0,3.0,3.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,
447,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
448,,,,,,,,,,,,2.0,2.0,2.0,,,,2.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,,,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,2.0,2.0,2.0,,1.0,2.0,2.0,3.0,3.0,2.0,,2.0,2.0,2.0
